env_size,epsilon,decay,gamma,alpha,experiment_mean_rewards,experiment_max_rewards,experiment_mean_turns_elapsed,experiment_min_turns_elapsed
10,0.6,0.9,0.9,0.01,"[-678.56, -314.69, -140.83, -59.52, -40.93, -10.54, -1.89, 8.03, 29.64, 29.88, 35.66]",35.66,"[165.35, 89.13, 52.35, 36.6, 32.86, 26.82, 24.28, 22.77, 18.97, 18.71, 17.84]",17.84
10,0.6,0.9,0.9,0.02,"[-550.92, -79.5, -4.45, 23.91, 21.68, 35.38, 34.38, 37.95, 44.72, 44.12, 42.68]",44.72,"[140.55, 41.04, 25.28, 20.05, 20.38, 17.75, 18.19, 17.55, 16.8, 16.68, 16.94]",16.68
10,0.6,0.9,0.9,0.03,"[-829.43, -131.41, -43.42, 26.49, 30.3, 36.75, 33.44, 32.69, 34.6, 34.44, 31.76]",36.75,"[200.5, 54.03, 35.32, 20.2, 19.65, 18.34, 18.72, 18.89, 18.63, 18.7, 18.84]",18.34
10,0.6,0.9,0.8,0.01,"[-933.56, -355.2, -206.78, -167.79, -93.91, 7.02, 2.86, -26.98, -17.78, 11.94, 20.91]",20.91,"[221.73, 103.08, 69.23, 63.67, 47.4, 24.1, 25.22, 32.3, 30.7, 22.63, 21.27]",21.27
10,0.6,0.9,0.8,0.02,"[-595.43, -105.79, 12.07, 29.75, 36.19, 40.27, 40.27, 41.63, 42.8, 45.17, 43.14]",45.17,"[149.43, 46.53, 22.59, 19.52, 17.66, 16.66, 16.78, 16.41, 16.35, 15.9, 16.31]",15.9
10,0.6,0.9,0.8,0.03,"[-551.94, -148.42, -2.8, 38.78, 39.37, 37.62, 39.08, 38.35, 39.67, 35.35, 41.58]",41.58,"[141.62, 60.26, 27.83, 18.29, 17.85, 18.14, 18.21, 18.44, 18.23, 18.75, 17.73]",17.73
10,0.6,0.9,0.7,0.01,"[-924.27, -263.0, -160.7, -65.11, -246.13, -42.03, 10.99, 19.07, -121.01, 6.09, -3.33]",19.07,"[226.91, 87.62, 64.91, 42.21, 94.68, 37.45, 24.19, 22.19, 63.83, 27.13, 30.69]",22.19
10,0.6,0.9,0.7,0.02,"[-989.76, -75.28, -1853.29, -364.41, -223.76, -48.49, 25.57, -16.37, -79.42, 2.16, 30.81]",30.81,"[249.98, 47.19, 564.66, 132.94, 92.37, 41.41, 20.3, 31.99, 50.71, 26.98, 19.68]",19.68
10,0.6,0.9,0.7,0.03,"[-887.11, -242.24, -28.2, -16.34, 22.57, 24.71, 20.06, 23.64, 25.76, 23.59, 17.79]",25.76,"[241.59, 93.7, 36.19, 33.6, 22.22, 21.54, 22.44, 21.64, 21.29, 22.01, 22.96]",21.29
10,0.6,0.8,0.9,0.01,"[-1117.89, -418.74, -267.97, -146.39, -57.14, 4.14, -11.28, 17.32, 26.0, 36.97, 33.99]",36.97,"[261.1, 113.29, 82.48, 56.34, 36.27, 24.58, 27.51, 21.64, 20.34, 17.82, 18.56]",17.82
10,0.6,0.8,0.9,0.02,"[-539.15, -124.95, -84.27, 40.18, -33.12, 46.8, 27.67, 46.92, 47.49, 43.73, 47.24]",47.49,"[135.82, 50.5, 43.96, 16.54, 33.77, 15.27, 19.81, 14.88, 15.62, 15.77, 15.35]",14.88
10,0.6,0.8,0.9,0.03,"[-705.16, -118.79, 19.34, 26.99, 31.35, 32.34, 30.79, 29.28, 30.38, 31.54, 36.7]",36.7,"[172.42, 51.04, 21.24, 19.77, 18.94, 18.8, 19.07, 19.41, 19.37, 19.16, 18.55]",18.55
10,0.6,0.8,0.8,0.01,"[-1369.08, -458.65, -406.3, -551.4, -212.41, -4358.09, -2517.62, -470.42, -1471.34, -3612.66, -2480.46]",-212.41,"[322.22, 132.53, 120.96, 178.6, 83.68, 1315.29, 777.1, 162.2, 466.4, 1097.82, 763.78]",83.68
10,0.6,0.8,0.8,0.02,"[-742.42, -91.03, 3.16, 18.58, 20.03, 45.24, 44.77, 42.76, 40.69, 44.89, 47.61]",47.61,"[184.55, 45.51, 24.07, 21.93, 20.89, 15.72, 15.69, 15.94, 16.18, 16.01, 15.26]",15.26
10,0.6,0.8,0.8,0.03,"[-398.37, -10.67, 25.17, 36.11, 36.61, 38.94, 39.96, 41.39, 41.36, 39.94, 36.88]",41.39,"[109.32, 27.35, 19.43, 17.42, 17.67, 17.32, 16.78, 16.67, 16.69, 17.4, 17.55]",16.67
10,0.6,0.8,0.7,0.01,"[-1038.8, -297.93, -105.21, -72.24, -2.09, -14.98, 20.72, 6.37, 40.67, 40.33, 24.78]",40.67,"[250.69, 94.24, 50.37, 43.1, 26.58, 30.14, 21.74, 25.93, 16.76, 17.07, 20.94]",16.76
10,0.6,0.8,0.7,0.02,"[-786.19, -322.68, -5073.61, -3493.29, -5677.36, -5986.43, -4126.89, -4599.71, -2756.39, -1960.54, -5486.11]",-322.68,"[199.22, 114.69, 1516.38, 1058.63, 1701.61, 1793.23, 1243.25, 1382.04, 840.95, 605.97, 1643.51]",114.69
10,0.6,0.8,0.7,0.03,"[-463.59, -135.72, -150.38, 39.9, 16.6, 5.99, 16.74, 7.21, 29.44, 40.93, 42.48]",42.48,"[124.66, 62.83, 71.05, 17.22, 24.17, 26.78, 23.69, 27.17, 20.08, 16.81, 16.56]",16.56
10,0.6,0.7,0.9,0.01,"[-658.23, -187.27, -136.26, -43.98, 15.11, 24.88, 29.47, 38.8, 38.02, 44.06, 43.07]",44.06,"[158.34, 62.55, 52.48, 32.67, 21.84, 19.46, 18.78, 16.93, 16.95, 15.96, 16.14]",15.96
10,0.6,0.7,0.9,0.02,"[-560.9, -96.37, -25.12, 19.91, 30.62, 34.63, 40.43, 42.53, 41.4, 37.47, 39.76]",42.53,"[138.76, 43.4, 29.61, 20.85, 19.09, 18.22, 17.52, 17.0, 16.97, 17.96, 17.56]",16.97
10,0.6,0.7,0.9,0.03,"[-841.19, -183.83, -38.28, 8.4, -2.29, 16.74, 16.6, 15.38, 9.62, 14.84, 10.06]",16.74,"[202.74, 66.55, 34.9, 24.93, 27.38, 23.64, 23.5, 23.51, 24.91, 24.09, 24.85]",23.5
10,0.6,0.7,0.8,0.01,"[-1206.51, -517.15, -209.79, -140.25, -69.72, -99.25, -187.51, -7.3, 38.21, 39.06, 41.74]",41.74,"[281.43, 140.53, 75.31, 58.11, 42.18, 51.45, 72.15, 28.92, 17.49, 17.58, 16.98]",16.98
10,0.6,0.7,0.8,0.02,"[-610.49, -135.41, -21.48, -28.98, 11.59, 14.03, 20.56, 34.44, 33.94, 34.59, 33.19]",34.59,"[154.2, 54.96, 30.21, 33.22, 23.77, 22.89, 21.69, 18.82, 17.87, 18.69, 18.48]",17.87
10,0.6,0.7,0.8,0.03,"[-384.83, -69.09, 3.1, 13.03, 21.19, 34.31, 35.62, 33.35, 37.27, 35.27, 33.83]",37.27,"[104.99, 41.16, 24.77, 22.84, 21.99, 18.51, 18.13, 18.51, 18.0, 17.9, 18.9]",17.9
10,0.6,0.7,0.7,0.01,"[-1505.95, -539.11, -624.16, -1004.02, -197.01, -40.88, -57.2, -40.96, 19.95, 6.62, 17.67]",19.95,"[362.74, 163.25, 200.37, 291.74, 83.41, 37.4, 43.06, 41.28, 23.44, 26.44, 23.42]",23.42
10,0.6,0.7,0.7,0.02,"[-985.2, -334.63, -141.01, -1009.51, 6.61, -16.4, 15.39, 16.86, 13.69, -12.98, 15.59]",16.86,"[251.43, 119.08, 68.11, 329.38, 27.02, 33.46, 24.51, 24.17, 25.53, 32.91, 24.3]",24.17
10,0.6,0.7,0.7,0.03,"[-866.56, -149.6, -84.95, 17.73, 27.01, 27.99, -31.3, -24.18, -18.58, -27.96, 7.0]",27.99,"[239.43, 72.87, 53.84, 23.8, 21.37, 21.49, 37.91, 35.82, 35.43, 37.2, 27.08]",21.37
10,0.7,0.9,0.9,0.01,"[-1082.9, -394.16, -95.51, -108.67, -8.09, 19.57, 36.83, 39.59, 43.52, 46.2, 45.14]",46.2,"[255.68, 108.58, 43.91, 47.37, 25.66, 20.86, 17.55, 16.56, 16.32, 15.69, 15.9]",15.69
10,0.7,0.9,0.9,0.02,"[-441.82, -37.47, 15.66, 31.46, 33.63, 46.19, 45.13, 44.38, 38.47, 45.61, 44.7]",46.19,"[115.56, 31.09, 20.3, 18.54, 17.68, 15.65, 15.29, 15.87, 16.85, 15.74, 15.73]",15.29
10,0.7,0.9,0.9,0.03,"[-481.12, -2.91, 32.14, 36.33, 36.58, 42.67, 39.0, 40.79, 41.07, 40.33, 36.74]",42.67,"[124.33, 25.1, 18.03, 17.62, 17.41, 16.34, 16.76, 16.85, 16.68, 17.02, 17.38]",16.34
10,0.7,0.9,0.8,0.01,"[-785.59, -142.08, -59.67, -28.46, 13.14, 13.37, 25.58, 36.09, 43.4, 25.89, 33.5]",43.4,"[189.7, 54.27, 36.82, 30.47, 21.86, 22.14, 19.44, 17.52, 16.23, 19.54, 18.0]",16.23
10,0.7,0.9,0.8,0.02,"[-683.54, -146.4, 34.24, 39.44, 45.33, 49.2, 50.2, 53.23, 53.63, 53.68, 50.7]",53.68,"[173.57, 57.96, 17.73, 16.55, 15.93, 14.76, 14.39, 13.97, 13.64, 13.87, 14.32]",13.64
10,0.7,0.9,0.8,0.03,"[-431.17, -16.62, 34.54, 43.91, 44.44, 45.84, 50.21, 43.38, 45.56, 43.98, 44.54]",50.21,"[117.53, 29.87, 18.5, 16.33, 16.16, 16.04, 14.89, 16.31, 16.2, 16.28, 15.97]",14.89
10,0.7,0.9,0.7,0.01,"[-945.53, -333.01, -177.54, -24.01, -125.15, -0.04, -26.26, 19.48, 26.62, 25.65, 28.41]",28.41,"[227.17, 103.18, 70.95, 33.45, 62.54, 27.61, 35.28, 22.12, 21.21, 20.56, 20.85]",20.56
10,0.7,0.9,0.7,0.02,"[-657.39, -75.9, -15.47, -61.12, -32.64, 9.37, 20.38, 0.48, 16.17, 9.43, 13.12]",20.38,"[161.82, 40.89, 29.64, 39.7, 34.59, 24.09, 21.13, 26.68, 22.61, 24.91, 24.15]",21.13
10,0.7,0.9,0.7,0.03,"[-350.14, -4.42, 37.75, 45.61, 42.09, 45.39, 43.39, 48.02, 46.55, 44.28, 43.86]",48.02,"[100.27, 26.55, 17.61, 16.06, 16.42, 15.64, 16.12, 15.37, 15.59, 16.01, 15.88]",15.37
10,0.7,0.8,0.9,0.01,"[-735.63, -246.1, -33.61, -15.91, 19.63, 16.42, 27.56, 40.05, 42.61, 44.66, 46.11]",46.11,"[177.84, 75.82, 29.98, 25.92, 19.93, 20.9, 18.78, 16.21, 16.21, 15.37, 15.4]",15.37
10,0.7,0.8,0.9,0.02,"[-534.69, -65.83, 5.96, 28.01, 42.82, 37.69, 42.65, 45.74, 46.01, 44.66, 41.9]",46.01,"[137.79, 37.85, 22.78, 18.94, 16.93, 17.78, 17.13, 16.29, 16.19, 16.3, 17.29]",16.19
10,0.7,0.8,0.9,0.03,"[-519.24, -152.77, 9.66, 14.18, 39.24, 33.51, 42.14, 40.23, 45.67, 46.42, 42.48]",46.42,"[133.65, 58.16, 23.47, 22.52, 17.33, 18.06, 16.34, 16.72, 15.79, 15.48, 16.9]",15.48
10,0.7,0.8,0.8,0.01,"[-510.14, -139.33, -42.65, -22.84, 9.42, 19.75, 27.63, 32.98, 27.91, 39.24, 39.75]",39.75,"[130.75, 53.18, 33.65, 28.77, 22.91, 20.52, 19.42, 18.47, 18.77, 17.11, 16.82]",16.82
10,0.7,0.8,0.8,0.02,"[-509.84, -74.63, 12.83, 3.6, 28.17, 37.75, 43.24, 50.08, 50.27, 44.86, 46.04]",50.27,"[132.2, 40.0, 22.62, 25.4, 19.38, 17.7, 16.91, 14.84, 14.67, 15.98, 16.21]",14.67
10,0.7,0.8,0.8,0.03,"[-385.61, 25.14, 42.4, 44.85, 42.87, 41.36, 42.09, 39.73, 38.99, 46.42, 44.17]",46.42,"[107.69, 19.86, 16.19, 16.01, 16.24, 16.49, 16.42, 16.94, 16.86, 15.53, 16.06]",15.53
10,0.7,0.8,0.7,0.01,"[-901.51, -317.17, -251.34, -17.32, 21.7, -12.13, -30.38, 10.48, -1.3, 31.53, 40.88]",40.88,"[220.85, 98.21, 87.46, 30.2, 21.58, 30.69, 35.04, 25.87, 29.16, 19.36, 17.05]",17.05
10,0.7,0.8,0.7,0.02,"[-551.64, -29.71, -9.77, 22.81, 38.95, 35.64, 31.33, 40.32, 42.75, 32.3, 37.08]",42.75,"[139.84, 30.76, 27.5, 19.9, 17.11, 17.34, 18.62, 16.93, 16.4, 18.53, 17.4]",16.4
10,0.7,0.8,0.7,0.03,"[-768.06, -1063.55, -206.73, -161.66, -41.86, -93.35, -219.01, -55.79, -33.54, -233.91, -69.32]",-33.54,"[202.76, 328.28, 81.6, 70.19, 38.75, 52.36, 85.33, 42.14, 36.14, 89.29, 45.58]",36.14
10,0.7,0.7,0.9,0.01,"[-1350.85, -645.87, -339.87, -199.24, -216.63, -56.27, -59.89, -23.93, -0.73, -9.12, 6.22]",6.22,"[310.32, 163.61, 98.76, 70.04, 73.87, 38.87, 39.91, 30.83, 27.21, 28.83, 25.68]",25.68
10,0.7,0.7,0.9,0.02,"[-933.66, -216.97, -47.85, -7.38, 20.23, 20.38, 20.88, 19.72, 29.58, 26.97, 27.01]",29.58,"[223.58, 71.59, 35.63, 26.64, 21.77, 21.96, 21.76, 21.79, 20.1, 20.86, 20.7]",20.1
10,0.7,0.7,0.9,0.03,"[-531.33, -57.62, 23.52, 32.69, 39.03, 39.52, 42.13, 39.79, 41.5, 41.97, 37.21]",42.13,"[136.1, 37.23, 20.12, 18.44, 17.39, 17.33, 16.87, 17.04, 17.0, 16.97, 17.73]",16.87
10,0.7,0.7,0.8,0.01,"[-531.03, -194.67, -105.84, -6.27, 21.55, 27.01, 33.55, 39.75, 52.45, 54.15, 50.27]",54.15,"[134.52, 64.59, 46.88, 24.63, 20.01, 19.07, 16.94, 16.3, 14.14, 13.53, 14.26]",13.53
10,0.7,0.7,0.8,0.02,"[-784.78, -187.02, -19.23, 6.39, 26.11, 33.31, 27.84, 30.74, 34.19, 31.5, 31.85]",34.19,"[192.52, 66.99, 30.55, 24.12, 20.72, 19.15, 20.49, 19.72, 19.24, 19.78, 19.73]",19.15
10,0.7,0.7,0.8,0.03,"[-449.49, -30.97, -9.68, 9.72, 31.14, 30.15, 29.32, 27.2, 31.85, 29.54, 30.67]",31.85,"[117.46, 30.57, 26.09, 22.43, 18.2, 18.64, 18.85, 18.98, 18.36, 18.45, 18.41]",18.2
10,0.7,0.7,0.7,0.01,"[-582.71, -126.55, 19.21, 4.62, 31.61, 43.08, 53.25, 48.03, 47.23, 47.79, 55.92]",55.92,"[148.92, 54.03, 21.82, 24.47, 18.35, 15.75, 13.64, 14.86, 15.34, 15.41, 13.46]",13.46
10,0.7,0.7,0.7,0.02,"[-882.72, -179.77, 12.61, 29.07, 25.88, 24.02, 29.44, 27.63, 25.97, 27.12, 27.63]",29.44,"[225.71, 73.62, 25.07, 21.07, 21.56, 22.64, 21.08, 21.09, 21.8, 21.91, 20.99]",20.99
10,0.7,0.7,0.7,0.03,"[-1109.24, -174.7, 24.52, -6.76, 44.58, 41.99, 42.85, 37.75, 42.72, 38.95, 42.25]",44.58,"[306.08, 77.69, 20.89, 30.9, 15.92, 16.44, 16.17, 17.51, 16.25, 16.94, 16.41]",15.92
10,0.8,0.9,0.9,0.01,"[-1439.24, -709.7, -425.89, -293.44, -174.47, -149.96, -90.01, -76.25, -94.59, -31.59, -20.3]",-20.3,"[331.29, 180.72, 119.79, 91.96, 66.47, 62.56, 49.69, 45.06, 50.95, 35.73, 32.28]",32.28
10,0.8,0.9,0.9,0.02,"[-783.71, -158.04, -9.65, 15.28, 32.06, 32.79, 29.74, 33.15, 32.79, 36.77, 38.85]",38.85,"[186.58, 56.6, 26.59, 21.86, 18.81, 18.39, 19.19, 18.7, 18.81, 18.35, 17.83]",17.83
10,0.8,0.9,0.9,0.03,"[-734.75, -34.67, 4.3, 32.55, 35.25, 36.25, 37.48, 36.92, 37.77, 34.76, 37.97]",37.97,"[185.56, 33.91, 24.6, 19.42, 19.05, 19.24, 18.1, 18.68, 18.23, 18.96, 18.62]",18.1
10,0.8,0.9,0.8,0.01,"[-769.11, -197.39, -86.12, -15.57, 10.92, 30.38, 38.85, 42.28, 45.01, 40.54, 42.27]",45.01,"[186.75, 68.03, 42.3, 27.89, 22.16, 18.41, 16.94, 16.82, 16.21, 16.85, 16.14]",16.14
10,0.8,0.9,0.8,0.02,"[-841.58, -312.62, -135.45, -85.49, -278.33, -85.39, -14.93, -5.65, 5.39, 5.38, 7.57]",7.57,"[208.43, 102.43, 62.62, 51.69, 109.68, 52.74, 31.45, 28.43, 26.46, 26.46, 25.94]",25.94
10,0.8,0.9,0.8,0.03,"[-423.56, -69.24, -8.79, 14.55, 26.56, 29.3, 27.96, 31.11, 30.59, 35.68, 35.94]",35.94,"[115.49, 40.9, 28.11, 22.81, 20.41, 20.04, 19.83, 19.39, 19.87, 18.59, 18.92]",18.59
10,0.8,0.9,0.7,0.01,"[-951.9, -259.42, -290.46, -6.39, -73.29, -33.96, 29.5, 41.01, 38.21, 32.71, 31.8]",41.01,"[233.73, 87.88, 102.47, 28.2, 49.41, 38.18, 19.75, 17.42, 17.42, 19.0, 19.03]",17.42
10,0.8,0.9,0.7,0.02,"[-516.45, -35.06, 17.28, 25.47, 27.81, 35.84, 26.79, 33.08, 40.19, 40.03, 36.38]",40.19,"[135.6, 32.02, 21.44, 20.2, 18.89, 17.69, 20.36, 17.99, 16.83, 16.79, 17.48]",16.79
10,0.8,0.9,0.7,0.03,"[-642.4, -135.46, -19.2, -20.36, 8.22, 21.7, 21.8, 19.97, 20.44, -1.77, 4.11]",21.8,"[174.0, 61.96, 32.91, 35.44, 26.8, 22.51, 21.99, 22.48, 22.83, 28.67, 27.33]",21.99
10,0.8,0.8,0.9,0.01,"[-592.05, -268.07, -87.02, -46.42, -20.09, 34.84, 32.3, 42.95, 50.25, 35.21, 50.63]",50.63,"[147.79, 80.25, 41.88, 33.36, 28.44, 16.97, 17.64, 15.52, 14.21, 16.98, 13.86]",13.86
10,0.8,0.8,0.9,0.02,"[-843.86, -232.74, -28.88, 1.36, 1.54, 20.74, 24.67, 21.35, 22.65, 25.28, 28.07]",28.07,"[203.43, 77.08, 31.81, 26.54, 25.86, 22.23, 21.18, 22.31, 21.63, 21.16, 20.82]",20.82
10,0.8,0.8,0.9,0.03,"[-675.13, -80.17, -13.15, 19.6, 22.0, 26.38, 24.48, 29.08, 25.57, 28.11, 31.07]",31.07,"[170.38, 43.57, 29.42, 22.45, 22.73, 21.11, 21.12, 20.74, 21.59, 20.82, 20.31]",20.31
10,0.8,0.8,0.8,0.01,"[-461.47, -209.79, -58.6, -1.11, -13.03, 50.47, 52.64, 54.61, 37.85, 51.94, 52.12]",54.61,"[119.77, 69.27, 37.68, 25.74, 29.19, 14.27, 13.87, 13.64, 17.42, 14.4, 13.97]",13.64
10,0.8,0.8,0.8,0.02,"[-534.85, -128.69, -13.23, 32.12, 29.86, 41.0, 42.89, 41.47, 37.67, 41.07, 43.17]",43.17,"[138.92, 53.75, 26.96, 18.38, 19.13, 16.52, 15.93, 16.79, 17.31, 16.44, 16.08]",15.93
10,0.8,0.8,0.8,0.03,"[-632.28, -65.61, -69.66, -66.55, 32.94, 33.36, 38.19, 32.4, 31.89, 37.31, 31.74]",38.19,"[164.95, 43.09, 45.21, 44.03, 18.96, 19.18, 17.9, 19.49, 19.58, 17.7, 19.12]",17.7
10,0.8,0.8,0.7,0.01,"[-1075.08, -322.3, -166.07, -201.84, -163.66, -89.38, 4.42, 20.41, -5.63, -37.15, -17.18]",20.41,"[253.85, 99.09, 64.16, 76.18, 70.3, 52.96, 25.79, 21.81, 28.35, 39.02, 33.57]",21.81
10,0.8,0.8,0.7,0.02,"[-503.47, -58.6, -41.6, 30.54, 48.56, 48.84, 48.5, 38.38, 41.39, 48.89, 53.58]",53.58,"[136.19, 39.62, 35.35, 19.93, 15.11, 15.07, 15.15, 17.62, 16.99, 14.85, 14.07]",14.07
10,0.8,0.8,0.7,0.03,"[-461.14, -95.66, -283.49, -91.39, 31.81, 34.41, 15.05, 7.18, 20.58, 36.7, -13.53]",36.7,"[129.16, 50.17, 110.95, 54.96, 19.67, 18.85, 23.83, 26.58, 22.77, 18.72, 32.73]",18.72
10,0.8,0.7,0.9,0.01,"[-1507.71, -715.99, -437.34, -359.59, -177.65, -224.12, -172.61, -91.2, -29.37, -93.06, -73.59]",-29.37,"[343.91, 176.78, 118.51, 105.04, 66.21, 78.23, 67.33, 46.93, 33.46, 49.94, 43.84]",33.46
10,0.8,0.7,0.9,0.02,"[-595.55, -121.93, -35.66, -3.73, 9.85, 23.74, 31.89, 35.55, 33.96, 29.31, 32.14]",35.55,"[148.79, 48.21, 31.81, 24.83, 22.29, 20.14, 18.9, 18.23, 18.92, 19.71, 19.2]",18.23
10,0.8,0.7,0.9,0.03,"[-537.24, -141.08, -60.2, 11.97, 22.55, 29.08, 33.63, 29.84, 32.3, 30.68, 28.58]",33.63,"[138.65, 57.16, 38.86, 23.4, 21.19, 19.79, 19.48, 19.8, 19.64, 19.63, 19.97]",19.48
10,0.8,0.7,0.8,0.01,"[-575.47, -127.63, -44.26, 1.7, 28.16, 22.95, 41.84, 38.51, 44.48, 51.47, 48.64]",51.47,"[146.61, 50.73, 32.62, 23.95, 18.92, 19.35, 16.58, 17.26, 15.79, 14.51, 14.91]",14.51
10,0.8,0.7,0.8,0.02,"[-529.22, -79.19, -22.94, 9.79, 22.49, 18.44, 30.76, 32.7, 27.68, 27.63, 21.84]",32.7,"[135.91, 43.09, 30.78, 23.39, 21.0, 21.4, 19.33, 18.89, 19.7, 19.73, 20.95]",18.89
10,0.8,0.7,0.8,0.03,"[-756.98, -143.71, -4.09, -18.79, 21.2, 27.05, 26.32, 24.9, 25.56, 27.68, 31.88]",31.88,"[194.95, 62.0, 28.07, 31.75, 21.86, 20.55, 20.64, 21.02, 21.17, 20.22, 19.31]",19.31
10,0.8,0.7,0.7,0.01,"[-665.62, -132.68, -49.49, 32.7, 37.14, 34.96, 32.52, 40.83, 41.81, 45.09, 43.54]",45.09,"[167.12, 54.65, 38.19, 17.94, 17.61, 17.69, 18.29, 16.2, 16.2, 15.71, 16.18]",15.71
10,0.8,0.7,0.7,0.02,"[-666.77, -90.56, -22.14, 35.17, 15.04, 22.55, 51.18, 50.21, 49.65, 44.37, 53.37]",53.37,"[177.64, 50.32, 34.34, 18.74, 24.3, 22.58, 14.71, 14.61, 15.02, 16.44, 13.94]",13.94
10,0.8,0.7,0.7,0.03,"[-469.56, -197.66, 37.92, 41.38, 39.42, 32.52, 39.66, -28.98, 37.95, 42.86, 38.11]",42.86,"[127.45, 76.03, 17.32, 16.34, 16.9, 18.04, 16.76, 35.2, 17.28, 16.31, 17.61]",16.31
15,0.6,0.9,0.9,0.01,"[-4372.3, -2143.34, -1372.85, -865.65, -771.22, -153.06, -339.82, -88.22, -343.85, -0.46, -56.36]",-0.46,"[1006.76, 536.94, 371.72, 260.41, 241.26, 93.08, 141.29, 82.5, 145.17, 61.11, 76.9]",61.11
15,0.6,0.9,0.9,0.02,"[-2802.52, -819.51, -431.36, -215.86, 28.73, 51.67, 100.5, 106.83, 104.61, 102.46, 109.79]",109.79,"[667.67, 239.17, 158.06, 109.48, 50.0, 44.25, 34.57, 33.53, 33.78, 34.4, 32.76]",32.76
15,0.6,0.9,0.9,0.03,"[-2726.3, -871.47, -391.97, -46.78, -8.66, 4.33, 80.33, 100.02, 100.04, 92.04, 98.46]",100.04,"[657.02, 262.11, 159.52, 70.49, 61.76, 59.77, 39.47, 34.64, 34.22, 36.68, 34.68]",34.22
15,0.6,0.9,0.8,0.01,"[-3804.8, -1855.89, -1042.64, -682.5, -3489.77, -113.22, -453.92, 64.43, -12751.76, -1314.35, -1295.21]",64.43,"[902.33, 497.72, 318.16, 238.38, 1075.43, 90.83, 190.84, 45.81, 3772.15, 414.71, 438.23]",45.81
15,0.6,0.9,0.8,0.02,"[-3104.07, -3451.96, -1098.14, -642.81, -1344.35, -2095.07, -584.65, -3342.32, -8.74, -220.41, -243.97]",-8.74,"[760.38, 1023.46, 381.85, 255.61, 465.3, 689.26, 239.53, 1060.21, 68.07, 131.58, 137.2]",68.07
15,0.6,0.9,0.8,0.03,"[-2107.21, -1069.15, -2922.09, -115.04, -13.44, -286.64, -37.78, 32.81, -91.88, -1.19, -46.82]",32.81,"[531.62, 351.19, 902.81, 92.97, 67.07, 143.91, 76.21, 53.92, 89.1, 64.79, 76.21]",53.92
